epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9251,1.97402,10.6328,2.99823,0.00481,0.96429,0.32571,0.2982,1.2118,15.9911,2.52756,0.0001375,0.0001375,0.0001375
2,130.905,1.78661,8.93527,2.77437,0.00463,0.98214,0.42262,0.37949,1.32875,15.4198,2.6032,0.000281807,0.000281807,0.000281807
3,192.12,1.79208,8.16548,2.69826,0.00558,0.96024,0.399,0.34924,1.51743,15.4395,2.83797,0.000420175,0.000420175,0.000420175
4,253.649,1.84028,7.7021,2.66899,0.0055,0.94833,0.39736,0.34848,1.53198,15.4334,2.9609,0.000552602,0.000552602,0.000552602
5,315.587,1.8376,7.27803,2.64404,0.0079,0.97619,0.42483,0.34064,1.52547,14.9651,3.02889,0.00067909,0.00067909,0.00067909
6,376.583,1.87851,6.66502,2.63791,0.99103,0.055,0.46786,0.33686,2.16841,14.8803,3.72478,0.000799638,0.000799638,0.000799638
7,436.643,2.0159,7.05869,2.7629,0.81851,0.17748,0.47435,0.37913,1.81586,14.3328,3.0746,0.000914245,0.000914245,0.000914245
8,498.447,1.99917,6.48236,2.71658,0.72544,0.44304,0.45338,0.38725,2.02017,13.1466,3.07487,0.00102291,0.00102291,0.00102291
9,562.523,1.77163,5.93035,2.59436,0.80002,0.37281,0.52834,0.42233,1.66448,12.1596,2.82923,0.001052,0.001052,0.001052
10,625.31,1.87165,5.94647,2.63467,0.81562,0.24723,0.47948,0.36593,1.84071,12.3428,2.9855,0.00102725,0.00102725,0.00102725
11,686.985,1.81544,5.50508,2.49483,0.70571,0.40421,0.51024,0.39549,1.83532,11.1439,2.96623,0.0010025,0.0010025,0.0010025
12,749.315,1.84579,5.26322,2.58067,0.5397,0.46542,0.58033,0.46297,1.76827,10.3849,2.96244,0.00097775,0.00097775,0.00097775
